place,insta,Naver_review_num,Naver_rate
올레길7코스,14811,927,0.0
올레길1코스,5046,548,0.0
올레길6코스,6839,525,0.0
올레길18코스,6212,299,0.0
올레길5코스,6414,463,0.0
올레길17코스,0,253,0.0
올레길13코스,705,112,0.0
올레길10코스,5788,490,0.0
올레길16코스,2613,209,0.0
올레길8코스,4844,380,0.0
올레길4코스,3029,1,0.0
올레길20코스,6435,278,0.0
올레길19코스,4908,253,0.0
올레길9코스,2061,233,0.0
올레길12코스,1720,211,0.0
올레길21코스,2262,259,0.0
올레길14-1코스,0,174,0.0
올레길1-1코스,0,176,0.0
올레길7-1코스,0,141,0.0
올레길3-B코스,0,0,0.0
올레길18-1코스,0,0,0.0
올레길3-A코스,0,0,0.0
올레길10-1코스,0,137,0.0
남원큰엉해변,162,0,0.0
함덕해수욕장,634993,777,4.35
협재해수욕장,1193048,414,4.34
이호테우해수욕장,19294,114,4.3
성산일출봉,1140185,907,4.44
김녕해수욕장,223542,21,4.79
섭지코지,619589,3101,4.46
사려니숲길,256258,3379,0.0
금능해수욕장,200078,34,4.31
용머리해안,181014,669,4.58
곽지해수욕장,348537,273,4.5
천지연폭포,198240,7001,4.49
비자림,247797,8835,4.58
황우지해안,0,0,0.0
중문색달해수욕장,11236,57,3.7
새별오름,685841,173,4.38
산방산,377769,4016,0.0
마라도,141599,118,4.2
중문대포주상절리대,349,8085,4.44
9.81파크,0,9721,4.46
용두암,142211,120,4.22
표선해수욕장,91832,109,4.26
세화해변,0,0,0.0
정방폭포,134973,7705,4.53
만장굴,82249,4301,4.35
새연교,51422,0,0.0
카멜리아힐,608674,48409,4.33
월정리해수욕장,83633,28,4.48
한라산국립공원,12200,217,4.47
산굼부리,147653,6370,4.52
쇠소깍,239541,5858,0.0
도두동무지개해안도로,20365,0,0.0
절물자연휴양림,61070,6817,4.5
천제연폭포,0,4430,4.47
도두봉,71904,2443,0.0
사계해변,91788,41,0.0
신창풍차해안도로,131313,3051,0.0
우도,1261146,7862,4.53
제주허브동산,23589,6731,4.41
금오름,260383,5,0.0
한라수목원,57293,1203,4.45
윈드1947카트테마파크,2583,9355,4.46
한림공원,193018,10174,4.46
서귀포치유의숲,0,1777,4.59
광치기해변,198869,7,0.0
송악산,179250,4414,0.0
삼양해수욕장,33064,26,4.29
수월봉,52702,1997,0.0
거문오름,28881,78,4.64
안돌오름,88323,6,0.0
항파두리항몽유적지,8906,30,4.29
한라산국립공원성판악탐방로,0,0,0.0
메이즈랜드,35699,2698,4.45
애월해안도로,422122,0,0.0
